statement,url,text,source,category,label,dataset_name,update_date,source_type
"The producer prices collected as at 15thof the mid-month of every quarter that is; (Q1: January-March), (Q2: April-June), (Q3: July-September) and (Q4: October-December)",https://www.nbs.go.tz/statistics/topic/producer-price-indices-ppi,"NBS information: The producer prices collected as at 15thof the mid-month of every quarter that is; (Q1: January-March), (Q2: April-June), (Q3: July-September) and (Q4: October-December)",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Content,2026-04-13,government
"NBS Dataset: 28 February, 2026Producer Price Indices for the Quarter ending December, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1774364401-PPI Release 2025Q4.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 28 February, 2026Producer Price Indices for the Quarter ending December, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 08 December, 2025Producer Price Indices for the Quarter ending September, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1765404451-PPI Release 2025Q3.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 08 December, 2025Producer Price Indices for the Quarter ending September, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 31 August, 2025Producer Price Indices for the Quarter ending June, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1758032194-PPI Release 2025Q2.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 31 August, 2025Producer Price Indices for the Quarter ending June, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 30 May, 2025Producer Price Index (PPI) for the First quarter January - March of 2025.",https://www.nbs.go.tz/uploads/statistics/documents/en-1750100529-PPI Release 2025Q1.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 30 May, 2025Producer Price Index (PPI) for the First quarter January - March of 2025.",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 24 March, 2025Producer Price Index (PPI) for the Quarter Ending December, 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1742823705-PPI Release 2024Q4.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 24 March, 2025Producer Price Index (PPI) for the Quarter Ending December, 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 03 December, 2024Producer Price Indices (PPI) for the third quarter July - September 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1733311672-PPI Release 2024Q3.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 03 December, 2024Producer Price Indices (PPI) for the third quarter July - September 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 06 September, 2024Producer Price Indices (PPI) for the second quarter April - June of 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1725869892-PPI Release 2024Q2 .pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 06 September, 2024Producer Price Indices (PPI) for the second quarter April - June of 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 28 May, 2024Producer Price Index (PPI) for the first quarter January - March of 2024.",https://www.nbs.go.tz/uploads/statistics/documents/en-1718797051-PPI Release 2024Q1.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 28 May, 2024Producer Price Index (PPI) for the first quarter January - March of 2024.",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 06 March, 2024Producer Price Index (PPI) for the fourth quarter October - December of 2023",https://www.nbs.go.tz/uploads/statistics/documents/en-1711105912-Producer_Price_Index_Release_OCT-DEC _2023.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 06 March, 2024Producer Price Index (PPI) for the fourth quarter October - December of 2023",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 28 November, 2023Producer Price Indices (PPI) for July - September, 2023",https://www.nbs.go.tz/uploads/statistics/documents/en-1707416362-PP_IRelease_JULY-SEPT_2023.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 28 November, 2023Producer Price Indices (PPI) for July - September, 2023",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 31 March, 2026TPI Statistical Release December, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1775110578-TPI Statistical Release December2025.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 31 March, 2026TPI Statistical Release December, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 23 December, 2025TPI Statistical Release September 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1771582698-TPI Statistical Release September 2025 .pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 23 December, 2025TPI Statistical Release September 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 30 October, 2025TPI Statistical Release June 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1769160561-TPI Statistical Release June 2025.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 30 October, 2025TPI Statistical Release June 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 01 June, 2025TPI Statistical Release March 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1750839337-TPI Statistical Release March 2025.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 01 June, 2025TPI Statistical Release March 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 06 March, 2025TPI Statistical Release December 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1741271985-TPI Statistical Release December 2024.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 06 March, 2025TPI Statistical Release December 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 17 December, 2024TPI Statistical Release September 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1734432046-TPI Statistical Release September 2024.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 17 December, 2024TPI Statistical Release September 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 11 September, 2024TPI Statistical Release June 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1726052052-TPI Statistical Release June 2024.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 11 September, 2024TPI Statistical Release June 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 17 May, 2024TPI Statistical Release March 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1718201752-TPI Statistical Release March 2024.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 17 May, 2024TPI Statistical Release March 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 08 March, 2024TPI Statistical Release December 2023",https://www.nbs.go.tz/uploads/statistics/documents/en-1718201517-TPI Statistical Release December 2023.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 08 March, 2024TPI Statistical Release December 2023",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 29 December, 2023TPI_Statistical_Release_September_2023",https://www.nbs.go.tz/uploads/statistics/documents/en-1706889463-TPI_Statistical_Release_September_2023.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 29 December, 2023TPI_Statistical_Release_September_2023",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"The volume of industrial production is collected every quarter (Q1: January-March), (Q2: April-June), (Q3: July-September) and (Q4: October-December)",https://www.nbs.go.tz/statistics/topic/index-of-industrial-production-iip,"NBS information: The volume of industrial production is collected every quarter (Q1: January-March), (Q2: April-June), (Q3: July-September) and (Q4: October-December)",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Content,2026-04-13,government
